accession_version	Accession	Strain	Country	Province	Location	Export_country	Common_name	Species_latin_binomial	Year	Major_clade	Minor_clade	Source	Reference	Coverage	Dataset	full_minor	region	location	host_common_name	host_latin_name	submitters	collection_year
KX148104.1	KX148104	86058YOU	Montenegro			Montenegro	Cow	Bos taurus	1978.0	Cosmopolitan	YUGCOW	Mouse	This study	Complete genome	Kuzmin	Cosmopolitan YUGCOW	Europe			Bos taurus	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1978
KF155001.1	KF155001	RV2627	Morocco			Morocco	Cow	Bos taurus	2009.0	Cosmopolitan	AF1a	Original brain		Complete genome	Kuzmin	Cosmopolitan AF1a	Africa			Bos taurus	Marston,D.A.,McElhinney,L.M.,Ellis,R.J.,Horton,D.L.,Wise,E.L.,Leech,S.L.,David,D.,de Lamballerie,X.,Fooks,A.R.	2009
KX148108.1	KX148108	11001NEP	Nepal			Nepal	Cow	Bos taurus	2011.0	Indian-Sub		Original brain	This study	Complete genome	Kuzmin		Asia			Bos taurus	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	2011
HE802675.1	HE802675	Pk_23	Pakistan			Pakistan	Cow	Bos taurus	2010.0	Arctic	AL1a	Mouse	Hussain et al. unpublished	Complete genome	Kuzmin	Arctic AL1a	Asia			Bos taurus	Hussain,Z.,Haider,M.S.,Qureshi,Z.U.,Afzaal,S.,Villa,A.V.,Xiangfu,W.,Rupprecht,C.E.	2010
HE802676.1	HE802676	Pk_24	Pakistan			Pakistan	Cow	Bos taurus	2007.0	Arctic	AL1a	Mouse	Hussain et al. unpublished	Complete genome	Kuzmin	Arctic AL1a	Asia			Bos taurus	Hussain,Z.,Haider,M.S.,Qureshi,Z.U.,Afzaal,S.,Villa,A.V.,Xiangfu,W.,Rupprecht,C.E.	2007
KC171643.1	KC171643	08F40	South Korea			South Korea	Cattle	Bos taurus	2008.0	Arctic	AL2	Original brain		Complete genome	Kuzmin	Arctic AL2	Asia			Bos taurus	Oem,J.K.,Kim,S.H.,Kim,Y.H.,Lee,M.H.,Lee,K.K.,Oem,J.-K.,Kim,S.-H.,Kim,Y.-H.,Chung,J.-Y.,Hyun,B.-H.,Lee,K.-K.	2008
JQ685992	JQ685992	SL-cow	Sri Lanka			Sri Lanka	Cow	Bos taurus		Indian-Sub		Original brain	Troupin	G	Troupin							
AF325463	AF325463	YUG1-WF	Serbia			Serbia	Cow	Bos taurus	1984.0	Cosmopolitan	YUGCOW		[19]	G	Troupin	Cosmopolitan YUGCOW						
KX148245.1	KX148245	09029NEP	Nepal			Nepal	Buffalo	Bovidae sp.	2009.0	Indian-Sub		Original brain	This study	Complete genome	Kuzmin		Asia			Bubalus bubalis	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	2009
AF325483	AF325483	MAU1-CL	Mauritania			Mauritania	Camel	Camelus dromedarius	1986.0	Africa-2			[19]	G	Troupin							
KX148169.1	KX148169	91034OMA	Oman			Oman	Camel	Camelus dromedarius	1990.0	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME1a	Asia			Camelus	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1990
KX148180.1	KX148180	93030ISR	Israel			Israel	Fox	Canidae sp.	1993.0	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME1a	Asia			Canidae	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1993
KX148183.1	KX148183	93031ISR	Israel			Israel	Fox	Canidae sp.	1993.0	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME1a	Asia			Canidae	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1993
KX148177.1	KX148177	96317ISR	Israel			Israel	Fox	Canidae sp.	1996.0	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME1a	Asia			Canidae	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1996
JX473838.1	JX473838	178J09	Namibia			Namibia	Jackal	Canidae sp.	2009.0	Cosmopolitan	AF1b		Scott et al. unpublished	Complete genome	Kuzmin	Cosmopolitan AF1b	Africa	Namibia		Canis	Scott,T.P.,Fischer,M.,Hoffmann,B.,Markotter,W.,Mueller,T.,Nel,L.H.	2009
JX473839.1	JX473839	192J09	Namibia			Namibia	Jackal	Canidae sp.	2009.0	Cosmopolitan	AF1b		Scott et al. unpublished	Complete genome	Kuzmin	Cosmopolitan AF1b	Africa	Namibia		Canis	Scott,T.P.,Fischer,M.,Hoffmann,B.,Markotter,W.,Mueller,T.,Nel,L.H.	2009
KX148175.1	KX148175	04034ARS	Saudi Arabia			Saudi Arabia	Fox	Canidae sp.	2004.0	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME1a	Asia			Canidae	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1998
KX148176.1	KX148176	04034ARS	Saudi Arabia			Saudi Arabia	Fox	Canidae sp.	2004.0	Cosmopolitan	ME1a		This study	Complete genome	Kuzmin	Cosmopolitan ME1a	Asia			Canidae	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	2004
KX148168.1	KX148168	87006ARS	Saudi Arabia			Saudi Arabia	Fox	Canidae sp.	1987.0	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME1a	Asia			Canidae	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1987
KX148174.1	KX148174	98001ARS	Saudi Arabia			Saudi Arabia	Fox	Canidae sp.	1998.0	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME1a	Asia			Canidae	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1998
KX148171.1	KX148171	91024EAU	United Arab Emirates			United Arab Emirates	Fox	Canidae sp.	1991.0	Cosmopolitan	ME1a	Mouse	This study	Complete genome	Kuzmin	Cosmopolitan ME1a	Asia			Canidae	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1991
KX148212.1	KX148212	93019IRA	Iran			Iran	Jackal	Canis aureus	1993.0	Cosmopolitan	CA2	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan CA2	Asia			Canis	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1993
KX148190.1	KX148190	93008IRA	Iran			Iran	Jackal	Canis aureus	1976.0	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME1a	Asia			Canis	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1976
KX148187.1	KX148187	96320IRA	Iran			Iran	Jackal	Canis aureus	1996.0	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME1a	Asia			Canis	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1996
KX148179.1	KX148179	96314ISR	Israel			Israel	Jackal	Canis aureus	1996.0	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME1a	Asia			Canis	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1996
KX148191.1	KX148191	93032ISR	Israel			Israel	Jackal	Canis aureus	1993.0	Cosmopolitan	ME1b	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME1b	Asia			Canis	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1993
KX148225.1	KX148225	02052AFG	Afghanistan			Afghanistan	Dog 	Canis familiaris	2002.0	Arctic	AL1b	Original brain	This study	Complete genome	Kuzmin	Arctic AL1b	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	2002
KX148227.1	KX148227	04029AFG	Afghanistan			Afghanistan	Dog 	Canis familiaris	2004.0	Arctic	AL1b	Original brain	This study	Complete genome	Kuzmin	Arctic AL1b	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	2004
KX148226.1	KX148226	04035AFG	Afghanistan			Afghanistan	Dog 	Canis familiaris	2002.0	Arctic	AL1b	Original brain	This study	Complete genome	Kuzmin	Arctic AL1b	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	2002
KX148197.1	KX148197	15006FRA	Algeria			Algeria	Dog 	Canis familiaris	2015.0	Cosmopolitan	AF1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AF1a	Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	2015
KX148109.1	KX148109	86117BRE	Brazil			Brazil	Dog 	Canis familiaris	1986.0	Bats	DR	Original brain	This study	Complete genome	Kuzmin	Bats DR	South America			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1986
KX148216.1	KX148216	86001BRE	Brazil			Brazil	Dog 	Canis familiaris	1986.0	Cosmopolitan	AM3a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AM3a	South America			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1986
KX148215.1	KX148215	95022BRE	Brazil			Brazil	Dog 	Canis familiaris	1995.0	Cosmopolitan	AM3a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AM3a	South America			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1995
KX148214.1	KX148214	95023BRE	Brazil			Brazil	Dog 	Canis familiaris	1995.0	Cosmopolitan	AM3a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AM3a	South America			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1995
AF369314	AF369314	B1.DG	Brazil			Brazil	Dog 	Canis familiaris	1993.0	Cosmopolitan	AM3a		[18]	P	Troupin	Cosmopolitan AM3a						
AB517659.1	AB517659	BRdg335	Brazil			Brazil	Dog 	Canis familiaris	2003.0	Cosmopolitan	AM3a		Mochizuki et al. unpublished	Complete genome	Kuzmin	Cosmopolitan AM3a	South America			Canis lupus familiaris	Mochizuki,N.,Kobayashi,Y.,Sato,G.,Hirano,S.,Itou,T.,Ito,F.H.,Gomes,A.A.,Santos,H.P.,Sakai,T.,Fumio,I.H.	
KX148217.1	KX148217	86123BRE	Brazil			Brazil	Dog 	Canis familiaris	1986.0	Cosmopolitan	AM3b	Mouse	This study	Complete genome	Kuzmin	Cosmopolitan AM3b	South America			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1986
KX148234.1	KX148234	86036HAV	Burkina Faso			Burkina Faso	Dog 	Canis familiaris	1986.0	Africa-2		Mouse	This study	Complete genome	Kuzmin		Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1986
EU853614	EU853614	8636HAV	Burkina Faso			Burkina Faso	Dog 	Canis familiaris	1986.0	Africa-2			[7]	N	Troupin							
KX148230.1	KX148230	95047HAV	Burkina Faso			Burkina Faso	Dog 	Canis familiaris	1995.0	Africa-2		Original brain	This study	Complete genome	Kuzmin		Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1995
KX148249.1	KX148249	02006CBG	Cambodia			Cambodia	Dog	Canis familiaris	1998.0	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin	Asian SEA3	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1998
KX148252.1	KX148252	99008CBG	Cambodia			Cambodia	Dog 	Canis familiaris	1999.0	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin	Asian SEA3	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1999
KX148251.1	KX148251	99011CBG	Cambodia			Cambodia	Dog	Canis familiaris	1998.0	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin	Asian SEA3	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1998
KX148253.1	KX148253	99012CBG	Cambodia			Cambodia	Dog 	Canis familiaris	1998.0	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin	Asian SEA3	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1998
KX148250.1	KX148250	99016CBG	Cambodia			Cambodia	Dog 	Canis familiaris	1999.0	Asian	SEA3	Original brain	This study	Complete genome	Kuzmin	Asian SEA3	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1999
KX148243.1	KX148243	88003CAM	Cameroon			Cameroon	Dog 	Canis familiaris	1987.0	Africa-2		Original brain	This study	Complete genome	Kuzmin		Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1987
KX148242.1	KX148242	95002CAM	Cameroon			Cameroon	Dog 	Canis familiaris	1994.0	Africa-2		Original brain	This study	Complete genome	Kuzmin		Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1994
AF325481	AF325481	CAM1-UN	Cameroon			Cameroon	Dog 	Canis familiaris	1988.0	Africa-2			[19]	G	Troupin							
KX148208.1	KX148208	92029CAR	Central African Republic			Central African Republic	Dog 	Canis familiaris	1992.0	Cosmopolitan	AF1b	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan AF1b	Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1992
KX148240.1	KX148240	90021TCH	Chad			Chad	Dog 	Canis familiaris	1990.0	Africa-2		Original brain	This study	Complete genome	Kuzmin		Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1990
KX148241.1	KX148241	96009TCH	Chad			Chad	Dog 	Canis familiaris	1996.0	Africa-2		Original brain	This study	Complete genome	Kuzmin		Africa			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1996
KM272192.1	KM272192	CQH1202D	China			China	Dog 	Canis familiaris	2012.0	Arctic	AL2		Guo et al. unpublished	Complete genome	Kuzmin	Arctic AL2	Asia			Canis lupus familiaris	Guo,Z.,Tao,X.,Tang,Q.,Liang,G.	2012
GU345746.1	GU345746	CQ92	China			China	Dog 	Canis familiaris	1992.0	Asian	SEA1a		Meng et al.,unpublished	Complete genome	Troupin	Asian SEA1a	Asia	China		Canis lupus familiaris	He,C.Q.,Meng,S.L.,Yan,H.Y.,Ding,N.Z.,He,H.B.,Yan,J.X.,Xu,G.L.,Wu,J.	1992
EU086146	EU086146	05005CHI	China			China	Dog 	Canis familiaris	2005.0	Asian	SEA1b		[10]	G	Troupin	Asian SEA1b						
KX148265.1	KX148265	98011CHI	China			China	Dog 	Canis familiaris	1998.0	Asian	SEA1b	Original brain	This study	Complete genome	Kuzmin	Asian SEA1b	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1998
JQ970481.1	JQ970481	CJS0621D	China			China	Dog 	Canis familiaris	2006.0	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin	Asian SEA1b	Asia	China		Canis lupus familiaris	Tang,Q.,Zhang,J.,Li,H.,Sheng,X.X.,Liang,G.D.	2006
JQ970482.1	JQ970482	CJS0636D	China			China	Dog 	Canis familiaris	2006.0	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin	Asian SEA1b	Asia	China		Canis lupus familiaris	Tang,Q.,Zhang,J.,Tao,X.Y.,Yu,P.C.,Liang,G.D.	2006
JQ970483.1	JQ970483	CJS0848D	China			China	Dog 	Canis familiaris	2008.0	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin	Asian SEA1b	Asia	China		Canis lupus familiaris	Tang,Q.,Zhang,J.,Wang,L.H.,Li,H.,Liang,G.D.	2008
JQ970484.1	JQ970484	CJX0903D	China			China	Dog 	Canis familiaris	2009.0	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin	Asian SEA1b	Asia	China		Canis lupus familiaris	Tang,Q.,Zhang,J.,Wang,L.H.,Yin,C.P.,Liang,G.D.	2009
JQ970485.1	JQ970485	CJX0906D	China			China	Dog 	Canis familiaris	2009.0	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin	Asian SEA1b	Asia	China		Canis lupus familiaris	Tang,Q.,Zhang,J.,Yu,P.C.,Wang,W.J.,Liang,G.D.	2009
KC252634.1	KC252634	CNM1104D	China			China	Dog	Canis familiaris	2011.0	Asian	SEA1b	Original brain	Yin et al. unpublished	Complete genome	Kuzmin	Asian SEA1b	Asia			Canis lupus familiaris	Yin,J.,Guo,Z.,Tao,X.,Tang,Q.,Wang,F.,Liang,G.	2011
JQ970486.1	JQ970486	CSD0708D	China			China	Dog 	Canis familiaris	2007.0	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin	Asian SEA1b	Asia	China		Canis lupus familiaris	Tang,Q.,Zhang,J.,Lang,S.L.,Guo,Z.Y.,Liang,G.D.	2007
JQ970487.1	JQ970487	CSX0904D	China			China	Dog 	Canis familiaris	2009.0	Asian	SEA1b	Original brain	Tang et al. unpublished	Complete genome	Kuzmin	Asian SEA1b	Asia	China		Canis lupus familiaris	Tang,Q.,Zhang,J.,Li,H.,Shen,X.X.,Liang,G.D.	2009
HQ450385.1	HQ450385	DRV_AH08	China			China	Dog 	Canis familiaris	2008.0	Asian	SEA1b	Mouse		Complete genome	Kuzmin	Asian SEA1b	Asia			Canis lupus familiaris	Yu,F.,Zhang,G.,Xiao,S.,Fang,L.,Xu,G.,Yan,J.,Chen,H.,Fu,Z.F.,Zhang,Y.,Guo,X.,Song,Y.	2008
FJ866835.1	FJ866835	FJ008	China			China	Dog 	Canis familiaris	2008.0	Asian	SEA1b		Zhang et al., unpublished	Complete genome	Troupin	Asian SEA1b	Asia	China		Canis lupus familiaris	Zhang,J.M.,Yan,Y.S.,Wang,L.L.,Deng,Y.Q.,Yang,X.H.,Lin,D.H.,Li,S.Y.,Li,S.Q.,He,S.	2008-11
FJ866836.1	FJ866836	FJ009	China			China	Dog 	Canis familiaris	2008.0	Asian	SEA1b		Zhang et al. unpublished	Complete genome	Kuzmin	Asian SEA1b	Asia	China		Canis lupus familiaris	Zhang,J.M.,Yan,Y.S.,Wang,L.L.,Deng,Y.Q.,Yang,X.H.,Lin,D.H.,Li,S.Y.,Li,S.Q.,He,S.	2008-11
JN609295.1	JN609295	FJDRV	China			China	Dog 	Canis familiaris	2008.0	Asian	SEA1b		Qi unpublished	Complete genome	Kuzmin	Asian SEA1b	Asia			Canis lupus familiaris	Qi,Y.	2008
GU345748.1	GU345748	SH06	China			China	Dog 	Canis familiaris	2006.0	Asian	SEA1b		Meng et al., unpublished	Complete genome	Troupin	Asian SEA1b	Asia	China		Canis lupus familiaris	He,C.Q.,Meng,S.L.,Yan,H.Y.,Ding,N.Z.,He,H.B.,Yan,J.X.,Xu,G.L.,Wu,J.	2006
KC977995.1	KC977995	Shaanxi_HZ	China			China	Dog 	Canis familiaris	2009.0	Asian	SEA1b			Complete genome	Kuzmin	Asian SEA1b	Asia			Canis lupus familiaris	Zhao,J.,Wang,S.,Zhang,S.,Liu,Y.,Zhang,J.,Zhang,F.,Mi,L.,Hu,R.,LIan,H.,Wang,Y.	2009
FJ712194.1	FJ712194		China			China	Dog 	Canis familiaris	2008.0	Asian	SEA1b		[2]	Complete genome	Troupin	Asian SEA1b	Asia			Canis lupus familiaris	Wang,X.G.,Lei,Y.L.,Chen,X.Y.,Ye,B.F.,Liu,F.M.	2008
EU086144	EU086144	02046CHI	China			China	Dog 	Canis familiaris	1994.0	Asian	SEA2a		[10]	G	Troupin	Asian SEA2a						
KX148264.1	KX148264	02046CHI	China			China	Dog	Canis familiaris	1994.0	Asian	SEA2a	Mouse	This study	Complete genome	Kuzmin	Asian SEA2a	Asia			Canis lupus familiaris	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1994
